Meter,Day,Hr,Usage
7312,195,23,0.408
7312,196,23,0.19
7312,197,23,0.347
7312,198,23,0.654
7312,199,23,0.38
7312,200,23,0.222
7312,201,23,0.309
7312,202,23,0.681
7312,203,23,0.534
7312,204,23,0.28
7312,205,23,0.537
7312,206,23,0.535
7312,207,23,0.505
7312,208,23,0.514
7312,209,23,0.4059999999999999
7312,210,23,0.321
7312,211,23,0.2299999999999999
7312,212,23,0.248
7312,213,23,0.407
7312,214,23,0.26
7312,215,23,0.2259999999999999
7312,216,23,0.23
7312,217,23,0.351
7312,218,23,0.394
7312,219,23,0.289
7312,220,23,0.392
7312,221,23,0.3249999999999999
7312,222,23,0.258
7312,223,23,0.301
7312,224,23,0.36
7312,225,23,0.307
7312,226,23,0.533
7312,227,23,0.305
7312,228,23,0.273
7312,229,23,0.237
7312,230,23,0.252
7312,231,23,0.264
7312,232,23,0.27
7312,233,23,0.248
7312,234,23,0.244
7312,235,23,0.264
7312,236,23,0.25
7312,237,23,0.235
7312,238,23,0.7769999999999999
7312,239,23,0.7190000000000001
7312,240,23,0.649
7312,241,23,0.265
7312,242,23,0.239
7312,243,23,0.591
7312,244,23,0.275
7312,245,23,0.31
7312,246,23,0.323
7312,247,23,0.246
7312,248,23,1.0
7312,249,23,0.2339999999999999
7312,250,23,0.21
7312,251,23,0.608
7312,252,23,0.414
7312,253,23,0.313
7312,254,23,0.256
7312,255,23,0.3429999999999999
7312,256,23,0.5
7312,257,23,0.321
7312,258,23,0.274
7312,259,23,0.473
7312,260,23,0.308
7312,261,23,0.252
7312,262,23,0.4639999999999999
7312,263,23,0.497
7312,264,23,0.2299999999999999
7312,265,23,0.404
7312,266,23,0.528
7312,267,23,0.248
7312,268,23,0.52
7312,269,23,0.38
7312,270,23,0.309
7312,271,23,0.283
7312,272,23,0.471
7312,273,23,0.273
7312,274,23,0.361
7312,275,23,0.53
7312,276,23,0.746
7312,277,23,0.5660000000000001
7312,278,23,0.226
7312,279,23,0.485
7312,280,23,0.554
7312,281,23,0.232
7312,282,23,0.51
7312,283,23,0.365
7312,284,23,0.31
7312,285,23,0.223
7312,286,23,0.3339999999999999
7312,287,23,0.27
7312,288,23,0.279
7312,289,23,0.344
7312,290,23,0.26
